Deň;Typ dňa;Absolutná zmena;Čistý zisk;profit;príliv kapitálu;všetok kapitál;Casa pred;Casa Po;Odliv kapitálu;Koláče;Iné;zásoby;zásoby.1;káva;charita;Investície;Unnamed: 17
3.10.;druhý;-226,94;-172,53;80,17;131,9;486,96;;;358,84;51,73;;40;198,7;14.0;16,67;37,74;
6.10.;prvý;-3,37;13,3;27,3;45,5;483,59;;;48,87;18,2;;;;14.0;16,67;;
10.10.;druhý;18,68;39,35;53,35;99,8;502,27;78;177,8;81,12;46,45;;;;14.0;16,67;4;
13.10.;prvý;9,18;25,85;39,85;57,35;584,35;57;114,35;48,17;17,5;;;;14.0;16,67;;
17.10.;druhý;64,23;96,8;110,8;128,8;648,58;57;185,8;64,57;18;;;;14.0;16,67;15,9;
20.10.;prvý;22,23;38,9;38,9;52,1;670,81;48,5;100,6;29,87;13,2;;;;;16,67;;
24.10.;druhý;0,8;79,8;109,8;134,1;671,61;48,5;182,6;133,3;24,3;;;30;;25;54;
3.11.;prvý;-6;19;56;61;665,61;50,3;111,3;67;5;;37;;;25;;
7.11.;druhý;72,25;97,25;127,25;127,25;737,86;48,5;175,75;55;0;;7;13;10.0;25;;
10.11.;prvý;-29,4;40,6;40,6;60,6;708,46;38;98,6;90;20;45;;;;25;;
14.11.;druhý;64,08;80,75;124,75;148,25;772,54;29;177,25;84,17;23,5;;30;8;6.0;16,67;;
18.11.;prvý;47,45;70,2;70,2;120,2;819,99;38;158,2;72,75;50;;;;;16,67;6,08;
20.11.;DOD;117,68;134,35;265,35;321,85;937,67;39;360,85;204,17;56,5;;30;101;;16,67;;
21.11.;druhý;112,82;169,2;169,2;180,8;1055,45;31,5;172,3;67,98;11,6;;;;;50;6,38;
24.11.;prvý;40,68;57,35;92,35;108,05;1096,13;41,5;149,55;67,37;15,7;;35;;;16,67;;
28.11.;pop-up;42,82;59,49;129,82;173,82;1138,95;41,5;215,32;131;44;;64;6,33;;16,67;;
1.12.;prvý;52,68;69,35;107,35;111,85;1191,63;41,5;153,35;59,17;4,5;;8;;30.0;16,67;;
3.12.;DOD;148,79;165,46;242,46;309,6;1340,42;78;387,6;160,81;67,14;;40;;37.0;16,67;;
5.12.;druhý;50,23;66,9;106,9;109,4;1390,65;41,5;150,9;59,17;2,5;;;;40.0;16,67;;
8.12.;prvý;46,84;63,51;63,51;74,45;1437,49;41,5;115,95;27,61;10,94;;;;;16,67;;
12.12.;druhý;-23,98€;-7,31€;92,70€;129,75;1 413,51€;41,5;171,25;153,73€;37,05€;;62;38,01;;16,67;;
15.12.;prvý;33,63;50,3;61,5;61,5;1 447,14€;41,5;103;27,87;;;;11,2;;16,67;;
19.12.;druhý;-24,57;22,07;22,07;62,5;1 422,57€;41,5;104;87,07;40,43;29,97;;;;16,67;;
9.1.;druhý;25,65;55,65;93,7;96,7;1 448,22€;36,5;133,2;71,05;3;;20,05;18;;30;;
12.1.;prvý;-53,29;-23,29;50,71;50,71;1 394,93€;36,5;87,21;104;;;74;;;30;;
16.1.;druhý;108,36€;138,36€;152,20€;171,4;1 503,29€;41,5;212,9;63,04€;19,20€;;10;3,84;;30;;
19.1.;prvý;-13,9;16,1;56,1;76,6;1 489,39€;41,5;118,1;90,5;20,5;;20;;20.0;30;;
24.1.;druhý;43,83€;73,83€;109,33€;121;1 533,22€;39,5;160,5;77,17€;11,67€;;;35,5;;30;;
26.1.;prvý;23,2;53,2;53,2;59,2;1 556,42€;41,5;100,7;36;6;;;;;30;;
30.1.;druhý;-38,95;-38,95;101,05;126,45;1 517,47€;41,5;167,95;165,4;25,4;;;140;;;;
3.2.;prvý;52,5;52,5;52,5;60,5;1 569,97€;41,5;102;8;8;;;;;;;
6.2.;druhý;31,55;31,55;84,05;95,1;1 601,52€;41,5;136,6;63,55;11,05;;2,5;;50.0;;;
9.2.;prvý;62,5;62,5;62,5;69,5;1 664,02€;41,5;111;7;7;;;;;;;
12.2.;DOD;-344,85;145,15;331,15;346,45;1 319,17€;46,5;392,95;691,3;15,3;190;83;;103.0;;300;
13.2.;valentín;-323,8;10,8;60,8;60,8;782,75;31,5;92,3;384,6;;;;334,6;50.0;;;
23.2.;prvý;-270,1;-60,1;59,9;63,2;512,65;31,5;94,7;333,3;3,3;;;;120.0;210;;
27.2.;druhý;73,36;73,36;73,36;95,8;586,01;31,5;127,3;22,44;22,44;;;;;;;
2.3.;prvý;-10,54;-10,54;51,7;60;575,47;26,5;86,5;70,54;8,3;;43,7;18,54;;;;
6.3.;druhý;103,31;103,31;103,31;109,31;678,78;26,5;135,81;6;6;;;;;;;
9.3.;prvý;-80,5;-80,5;24,5;40,1;598,28;26,5;66,6;120,6;15,6;;;;105.0;;;
13.3.;druhý;19,2;23,7;71,7;71,7;617,48;26,5;98,2;52,5;;;;20;28.0;;4,5;
16.3.;prvý;-12,58;-12,58;85,11;99,25;604,9;24;123,25;111,83;14,14;;82;15,69;;;;
20.3.;pop-up;193,51€;193,51€;203,80€;218,6;798,41€;19;237,6;25,09€;14,80€;;;10,29;;;;
