Deň;Typ dňa;Absolutná zmena;Čistý zisk;profit;príliv kapitálu;všetok kapitál;Casa pred;Casa Po;Odliv kapitálu;Koláče;Iné;zásoby;zásoby;káva;charita;Investície;;Palacinky;nutella;Toasty;#koláčov;espresso;capuchino;ginger shot;espresso tonic;club mathe;speciality;Cold brew;Batch brew;espresso sunrise
3.10.;druhý;-226,94;-172,53;80,17;131,90;486,96;;;358,84;51,73;;40;198,7;14;16,67;37,74;;19;14;10;55;19;11;6;0;1;1;4;0;0
6.10.;prvý;-3,37;13,30;27,30;45,50;483,59;;;48,87;18,2;;;;14;16,67;;;0;0;0;21;9;7;2;0;0;0;1;5;0
10.10.;druhý;18,68;39,35;53,35;99,80;502,27;78,00;177,8;81,12;46,45;;;;14;16,67;4;;19;18;9;49;9;6;1;0;2;0;4;0;0
13.10.;prvý;9,18;25,85;39,85;57,35;584,35;57,00;114,35;48,17;17,5;;;;14;16,67;;;0;0;0;36;5;7;1;0;0;0;4;0;0
17.10.;druhý;64,23;96,80;110,80;128,80;648,58;57,00;185,80;64,57;18;;;;14;16,67;15,9;;37;32;9;30;18;8;0;0;2;7;0;0;0
20.10.;prvý;22,23;38,90;38,90;52,10;670,81;48,50;100,6;29,87;13,2;;;;;16,67;;;0;0;0;11;12;11;0;0;1;0;0;5;0
24.10.;druhý;0,80;79,80;109,80;134,10;671,61;48,50;182,6;133,3;24,3;;;30;;25;54;;26;17;13;33;12;9;3;0;0;1;2;2;0
3.11.;prvý;-6,00;19,00;56,00;61,00;665,61;50,30;111,3;67;5;;37;;;25;;;0;0;0;24;5;4;5;0;3;0;3;3;0
7.11.;druhý;72,25;97,25;127,25;127,25;737,86;48,50;175,75;55;0;;7;13;10;25;;;16;15;4;58;14;5;2;2;0;0;2;5;2
10.11.;prvý;-29,40;40,60;40,60;60,60;708,46;38,00;98,6;90;20;45;;;;25;;;0;0;0;32;14;4;1;0;0;0;2;5;1
14.11.;druhý;64,08;80,75;124,75;148,25;772,54;29,00;177,25;84,17;23,5;;30;8;6;16,67;;;25;18;5;48;6;10;2;0;1;0;2;8;3
18.11.;prvý;47,45;70,20;70,20;120,20;819,99;38,00;158,2;72,75;50;;;;;16,67;6,08;;0;0;3;39;16;14;1;0;8;0;4;1;2
20.11.;DOD;117,68;134,35;265,35;321,85;937,67;39,00;360,85;204,17;56,5;;30;101;;16,67;;;29;15;11;109;22;28;4;0;4;;2;6;2
21.11.;druhý;112,82;169,20;169,20;180,80;1 055,45;31,50;172,3;67,98;11,6;;;;;50;6,38;;15;15;5;35;10;15;0;0;5;7;0;3;1
24.11.;prvý;40,68;57,35;92,35;108,05;1 096,13;41,50;149,55;67,37;15,7;;35;;;16,67;;;0;0;5;49;19;15;2;0;1;6;2;4;1
28.11.;druhý;42,82;59,49;129,82;173,82;1138,95;41,5;215,32;131;44;;64;6,33;;16,67;;;24;18;9;43;14;12;0;1;4;3;2;6;2
1.12.;prvý;52,68;69,35;107,35;111,85;1191,63;41,5;153,35;59,17;4,5;;8;;30;16,67;;;0;0;9;38;9;11;0;0;0;4;1;5;1
3.12.;DOD;148,79;165,46;242,46;309,6;1340,42;78;387,6;160,81;67,14;;40;;37;16,67;;;20;17;5;101;24;16;1;0;4;0;2;5;0
5.12.;druhý;50,23;66,9;106,9;109,4;1390,65;41,5;150,9;59,17;2,5;;;;40;16,67;;;21;20;8;42;8;12;1;2;2;1;2;5;0
8.12.;prvý;46,84;63,51;63,51;74,45;1437,49;41,5;115,95;27,61;10,94;;;;;16,67;;;0;0;6;26;8;10;1;0;0;4;2;13;1
12.12.;druhý;-23,98;-7,31;92,7;129,75;1413,51;41,50;171,25;153,73€;37,05€;;62;38,01;;16,67;;;21;18;7;55;9;4;0;0;2;1;1;12;1
15.12.;prvý;33,63;50,3;61,5;61,5;1447,14;41,50;103;27,87;;;;11,2;;16,67;;;0;0;0;36;10;8;0;0;1;0;1;9;1
19.12.;druhý;-24,57;22,07;22,07;62,5;1422,57;41,50;104;87,07;40,43;29,97;;;;16,67;;;7;4;1;16;3;10;0;0;0;1;3;10;0
9.1.;druhý;25,65;55,65;93,7;96,7;1448,22;36,50;133,2;71,05;3;;20,05;18;;30;;;14;10;10;37;14;10;1;0;3;0;0;0;1
12.1.;prvý;-53,29;-23,29;50,71;50,71;1394,93;36,50;87,21;104;;;74;;;30;;;0;0;6;21;12;8;0;0;1;0;2;7;0
16.1.;druhý;108,36;138,36;152,2;171,4;1503,29;41,50;212,9;63,04€;19,20€;;10;3,84;;30;;;26;18;18;39;14;16;2;0;4;0;5;8;0
19.1.;prvý;-13,9;16,1;56,1;76,6;1489,39;41,50;118,1;90,5;20,5;;20;;20;30;;;0;0;9;19;8;8;1;0;2;0;2;7;0
24.1.;druhý;43,83;73,83;109,33;121;1533,22;39,5;160,5;77,17€;11,67€;;;35,5;;30;;;20;16;12;28;13;13;0;0;2;1;2;8;0
26.1.;prvý;23,2;53,2;53,2;59,2;1556,42;41,50;100,7;36;6;;;;;30;;;0;0;12;12;5;7;1;0;1;1;2;8;1
30.1.;druhý;-38,95;-38,95;101,05;126,45;1517,47;41,50;167,95;165,4;25,4;;;140;;;;;28;21;9;40;11;12;0;0;1;1;4;3;0
3.2.;prvý;52,5;52,5;52,5;60,5;1569,97;41,50;102;8;8;;;;;;;;0;0;7;21;7;5;0;0;1;3;0;6;1
6.2.;druhý;31,55;31,55;84,05;95,1;1601,52;41,50;136,6;63,55;11,05;;2,5;;50;;;;19;12;14;14;11;9;2;0;1;2;1;8;1
9.2.;prvý;62,5;62,5;62,5;69,5;1664,02;41,50;111;7;7;;;;;;;;0;0;9;10;7;9;0;0;3;0;0;12;0
12.2.;DOD;-344,85;145,15;331,15;346,45;1319,17;46,50;392,95;691,3;15,3;190;83;;103;;300;;30;31;19;35;10;11;0;0;7;0;4;6;0
13.2.;valentín;-323,8;-323,8;60,8;60,8;782,75;31,50;92,3;384,6;;;;334,6;50;;;;18;15;7;7;2;5;0;0;1;1;2;3;1
23.2.;prvý;-270,1;-60,1;59,9;63,2;512,65;31,50;94,7;333,3;3,3;;;;120;210;;;0;0;6;19;16;5;0;0;0;0;0;6;0
27.2.;druhý;73,36;73,36;73,36;95,8;586,01;31,50;127,3;22,44;22,44;;;;;;;;16;11;6;32;15;5;0;1;2;0;0;8;0
2.3.;prvý;-10,54;-10,54;51,7;60;575,47;26,50;86,5;70,54;8,3;;43,7;18,54;;;;;0;0;11;14;9;6;0;0;1;1;0;7;0
6.3.;druhý;103,31;103,31;103,31;109,31;678,78;26,50;135,81;6;6;;;;;;;;33;26;7;14;15;9;0;0;2;1;2;7;1
9.3.;prvý;-80,5;-80,5;24,5;40,1;598,28;26,50;66,6;120,6;15,6;;;;105;;;;0;0;0;9;11;4;0;0;5;1;0;4;0
13.3.;druhý;19,2;23,7;71,7;71,7;617,48;26,50;98,2;52,5;;;;20;28;;4,5;;16;13;2;9;4;7;6;0;7;0;0;2;0
16.3.;prvý;-12,58;-12,58;85,11;99,25;604,9;24,00;123,25;111,83;14,14;;82;15,69;;;;;0;0;7;29;6;6;0;0;2;3;1;7;0
20.3.;druhý;193,51;193,51;203,8;218,6;798,41;19,00;237,6;25,09€;14,80€;;;10,29;;;;;37;23;10;45;9;12;3;0;7;9;1;7;5
